"CO_MUNICIP";"CO_MUNICDV";"Populacao";"DS_NOMEPAD_municip";"CO_UF";"DS_UF_SIGLA";"CO_MACSAUD";"DS_NOMEPAD_macsaud"
110001;1100015;22945;"ALTA FLORESTA D'OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110037;1100379;13241;"ALTO ALEGRE DOS PARECIS";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110040;1100403;21428;"ALTO PARAISO";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110034;1100346;14411;"ALVORADA D'OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110002;1100023;107863;"ARIQUEMES";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110045;1100452;39654;"BURITIS";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110003;1100031;5312;"CABIXI";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110060;1100601;6230;"CACAULANDIA";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110004;1100049;85359;"CACOAL";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110070;1100700;14139;"CAMPO NOVO DE RONDONIA";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110080;1100809;26693;"CANDEIAS DO JAMARI";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110090;1100908;3052;"CASTANHEIRAS";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110005;1100056;16323;"CEREJEIRAS";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110092;1100924;11182;"CHUPINGUAIA";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110006;1100064;15882;"COLORADO DO OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110007;1100072;7391;"CORUMBIARA";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110008;1100080;18331;"COSTA MARQUES";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110094;1100940;25215;"CUJUBIM";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110009;1100098;32374;"ESPIGAO D'OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110100;1101005;7767;"GOVERNADOR JORGE TEIXEIRA";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110010;1100106;46174;"GUAJARA-MIRIM";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110110;1101104;10458;"ITAPUA DO OESTE";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110011;1100114;51775;"JARU";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110012;1100122;128969;"JI-PARANA";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110013;1100130;39991;"MACHADINHO D'OESTE";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110120;1101203;9660;"MINISTRO ANDREAZZA";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110130;1101302;10947;"MIRANTE DA SERRA";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110140;1101401;15852;"MONTE NEGRO";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110014;1100148;20474;"NOVA BRASILANDIA D'OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110033;1100338;30583;"NOVA MAMORE";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110143;1101435;6970;"NOVA UNIAO";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110050;1100502;8538;"NOVO HORIZONTE DO OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110015;1100155;36035;"OURO PRETO DO OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110145;1101450;6074;"PARECIS";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110018;1100189;36660;"PIMENTA BUENO";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110146;1101468;2169;"PIMENTEIRAS DO OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110020;1100205;529544;"PORTO VELHO";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110025;1100254;18986;"PRESIDENTE MEDICI";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110147;1101476;2856;"PRIMAVERA DE RONDONIA";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110026;1100262;3764;"RIO CRESPO";11;"RO";1102;"MACRORREGIAO I - PORTO VELHO"
110028;1100288;55058;"ROLIM DE MOURA";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110029;1100296;6495;"SANTA LUZIA D'OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110148;1101484;5172;"SAO FELIPE D'OESTE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110149;1101492;20266;"SAO FRANCISCO DO GUAPORE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
110032;1100320;23005;"SAO MIGUEL DO GUAPORE";11;"RO";1101;"MACRORREGIONAL II (CACOAL)"
